petAge,petGender,petBreed,PetCancerSuspect,Note,PetRiskValue
21/07/2016,FS,Flat Coated Retriever,Yes,Had a Mast Cell Tumor in 2024 removed ,-0.071
27/06/2017,FS,Whippet,No,no concerns just wellness,-0.071
22/07/2024,MN,Goldendoodle,No,Has lumps on belly,-0.071
9/12/13,FS,English Cocker Spaniel,No,none,-0.07
14/01/2009,M,Beagle,Yes,Mixed breed - not sure which breeds. Cancer screening IBD CCD Copper Storage Disease Cushing’s Disease,-0.07
18/12/2011,MN,Golden Retriever,No,Subaortic Stenosis  - Stable and does not interfere with his energy. His vet did a blood test for cancer markers with was borderline he was given  immune support and repeat test was negative. He has a very small area on his spleen which has regressed over 3 months has now  mostly resolved. ,-0.07
17/03/2019,M,Golden Retriever,No,N/A,-0.069
5/1/15,MN,Golden Retriever,No,NA,-0.069
1/8/22,FS,German Short- Haired Pointing Dog,Yes,Good quality stools changing to diarrhea with mucus and bright red blood - ,-0.068
14/11/2016,F,Husky/German Shepherd,No,NA,-0.068
1/4/11,F,Labrador Retriever,No,NA,-0.068
26/04/2011,FS,Chihuahua,No,NA,-0.067
3/6/20,F,NA,No,No health concerns ,-0.067
19/11/2013,FS,Border Collie,No,Incontinence ,-0.067
10/9/22,F,NA,No,NA,-0.067
6/1/16,M,NA,Yes,Lumps,-0.067
10/1/17,FS,Boxer Terrier,No,NA,-0.066
19/03/2014,MN,Labrador mix,No,Multiple lumps. Previous mast cell tumor (removed),-0.066
1/1/14,M,American Staffordshire Terrier,No,NA,-0.066
7/3/14,F,German Shepherd Dog,No,NA,-0.066
19/11/2013,FS,Whippet,No,NA,-0.066
7/10/20,MN,mix,Yes,Rally has a bump on his torso. ,-0.065
26/04/2011,MN,Chihuahua / Poodle / Beagle,No,No major concerns. He has a very minor heart murmur and luxating patella's in both legs which has led to a minor CCL tear that we are managing.,-0.065
25/10/2019,MN,saint bernard mix,No,NA,-0.065
17/08/2021,M,Bernese Mountain Dog,Yes,Our other dog his sister recently passed away unexpectedly at 3.5 years old of hemangiosarcoma,-0.064
12/9/10,FS,Golden Retriever,Yes,NA,-0.064
NA,F,Cavalier King Charles Spaniel,No,No concerns,-0.064
1/5/16,MN,Husky/Pyrenees mix,No,Ultrasound for kidneys showed a small mass on his spleen that looks to be benign but we want to see if the urine test shows anything. ,-0.064
16/04/2016,M,Maltese,Yes,Seizures ,-0.063
7/1/21,NA,Rottweiler,No,None,-0.063
31/12/1261,F,Australian Shepherd,No,None,-0.063
20/04/2015,FS,Golden Retriever,Yes,NA,-0.063
19/06/2019,FS,Flat Coated Retriever,No,NA,-0.062
1/4/25,FS,Terrier mix,No,She has an unknown mass near mammary glands vomiting belly aches,-0.062
24/03/2014,M,Australian Cattle Dog,No,None,-0.062
6/6/20,MN,Dobermann,No,NA,-0.062
19/01/2018,M,German Short- Haired Pointing Dog,No,Has had lung infection in past,-0.061
6/12/15,MN,Golden Retriever,Yes,Hypothyroidism multiple lypomas with new lumps popping up regularly being a golden retriever ,-0.061
18/12/2015,MN,Labrador Retriever,Yes,NA,-0.061
1/1/16,MN,Mix,No,None,-0.061
31/10/2013,FS,Mixed Breed,No,None,-0.061
1/2/13,MN,Cavalier King Charles Spaniel,Yes,high platelets/ PLN/ Cushings,-0.06
27/01/2016,M,Beagle,No,He has elevated liver enzymes.,-0.06
31/08/2013,F,Labradoodle,Yes,Epilepsy,-0.06
28/10/2019,F,Boxer,No,None.,-0.06
17/11/2020,M,mix,No,NA,-0.06
23/02/2017,FS,NA,No,Just age,-0.059
10/10/16,NA,Golden Retriever,No,NA,-0.059
4/10/12,MN,mix,No,NA,-0.059
13/04/2012,FS,Australian Cattle Dog,No,had CCL surgery ,-0.059
1/1/17,FS,American Staffordshire Terrier,No,NA,-0.059
21/04/2014,M,Italian Spinone,No,NA,-0.058
1/4/13,FS,Boxer,Yes,LOSING ALOT OF WEIGHT RUNNY STOOLS FOR 3 MONTHS GONE BLIND AND DEAF MY VET STATED RUNNY STOOLS ARE FINE JUST FEED HER WHITE CHICKEN AND WHITE RICE WHAT AN IDIOIT.,-0.058
31/12/1121,MN,Dachshund,No,NA,-0.058
3/8/11,M,Basset Hound,No,NA,-0.058
29/05/2014,MN,Havanese,Yes,Mass on tail of spleen,-0.057
7/7/15,FS,Black And Tan Coonhound,Yes,Keeps getting lumps no other symptoms,-0.057
20/07/2016,MN,Golden Retriever,Yes,History of stage 4 malignant melanoma treated with primary mass and then node removal chemo and melanoma vaccine.  Recent staging including BW CT US and chest radiographs all clear. ,-0.057
21/09/2020,M,cockapoo ,No,N/A,-0.057
25/04/2017,MN,Golden Retriever,No,obesity,-0.057
23/07/2024,MN,Shih Tzu,No,NA,-0.056
15/04/2010,MN,Labrador Mix,Yes,Persistent nasal discharge cough and reverse sneezing; growth on roof of mouth,-0.055
1/9/21,FS,Golden Retriever,Yes,None,-0.055
27/04/2015,FS,pomeranian,No,No concerns : just preventative screening,-0.055
26/06/2012,FS,Golden Retriever,Yes,None right now,-0.055
5/6/16,MN,Labrador Retriever,No,None at this time. ,-0.055
7/3/15,F,Bernese Mountain Dog,No,NA,-0.055
12/4/18,NA,German Shepherd Dog,No,None just getting older,-0.054
1/1/13,FS,yorkiepoo,Yes,Cushings ,-0.054
21/03/2015,MN,Flat Coated Retriever,No,Atopic dermatitis food allergy. 3 siblings died due to cancer.,-0.054
1/4/11,MN,Chihuahua,No,Chronic kidney disease osteoarthritis IVDD,-0.054
13/06/2022,M,Golden Retriever,No,Gus's male littermate died of rib cancer when he was 13 months old so we're worried about him too.,-0.054
26/02/2011,MN,Labrador Retriever,Yes,Diagnosed with malignant pheochromocytoma which was surgically removed in Oct 2024. We are concerned about the possibility of metastatis. ,-0.053
3/1/11,M,Australian Cattle Dog,No,Heavy panting ,-0.053
1/2/11,FS,Labrador Retriever,No,NA,-0.053
15/08/2014,FS,Bulldog,Yes,Recently had tumor removed from inside vulva. Pending biopsy results. ,-0.052
31/12/2017,NA,Golden Retriever,Yes,NA,-0.052
NA,FS,Australian Cattle Dog,Yes,NA,-0.052
1/1/19,F,German Shepherd Dog,Yes,Scan shows small protrusion coming from the spleen,-0.051
15/04/2010,FS,mix,No,NA,-0.051
28/04/2017,MN,Pomeranian,No,Possible Kidney issues (large protein amounts found in recent urine test) he coughs every time we pick him up and put him down. He also has collapsing trachea and both back legs luxating patellas. ,-0.05
14/05/2013,MN,mix,No,osteoarthritis,-0.05
19/04/2016,FS,Dobermann,Yes,Dog has seemed a bit off and a 24hr ekg came back with a substantial number of single premature ventricular contractions.  There is a pedigree history of cancer ,-0.05
28/02/2020,M,Australian Shepherd,No,Unknown neoplasm on the inner thigh.,-0.05
14/06/2016,MN,pitbull,No,NA,-0.05
23/10/2013,M,St. Bernard,No,NA,-0.05
27/01/2015,FS,Shiba,No,Bladder bacterial growth led to constant UTIs,-0.049
12/12/12,FS,Pit Bull Terrier,No,NA,-0.049
8/4/16,FS,Terrier Mix,No,NA,-0.049
6/4/17,M,labradoodle,No,NA,-0.049
1/1/16,M,pitt,No,I got him in a shelter and was curious to see if he is okay.  I got him at 9 years old recently,-0.049
13/12/2018,MN,Golden Retriever,No,NA,-0.049
19/04/2017,MN,German Short- Haired Pointing Dog,Yes,Previously had Mast cell tumor ,-0.049
8/6/21,MN,american pitbull terrier,No,None,-0.048
9/6/18,F,mix,No,NA,-0.048
NA,F,Dobermann,No,None,-0.048
9/2/15,M,Golden Retriever,No,Past goldens have died from cancer around this age - he will be 10 soon and has some lumps/ bumps. ,-0.048
18/10/2020,MN,Mixed,No,Many lipomas which always give me a fright,-0.048
1/3/12,FS,German Shepherd Dog,Yes,Lola has been losing weight. Therefore her vet recommend we get her tested  ,-0.048
3/7/14,M,Miniature Schnauzer,Yes,NA,-0.047
8/9/16,MN,Golden Retriever,No,My dog has lipomas and I have had them checked but want to verify there is no cancer. ,-0.047
1/1/81,F,German Wire- Haired Pointing Dog,Yes,cancer history in parent and sibling,-0.047
23/03/2018,MN,Labrador Retriever,No,Dog is over weight and has benign lump on chest. Previously checked by vet. Dog has also had TPLO surgery 2 years ago. ,-0.047
1/4/14,MN,mix,Yes,cushings ,-0.047
1/3/24,MN,Labrador Retriever,No,none,-0.047
2/7/11,MN,Yorkshire Terrier,Yes,Cushing Chronic Kidney Disease ,-0.046
26/04/2016,MN,Labrador Retriever,No,NA,-0.046
8/1/15,M,Rottweiler,No,LETHARGIC HEARTWORM POSITIVEM PROGRESSIVE WEAKNESS,-0.046
7/9/17,FS,Bull Terrier,No,had lump removed 06/03/2024 and results are pending.,-0.046
19/11/2019,M,Rottweiler,Yes,Head shaking intermittent limp,-0.046
12/10/17,MN,West Highland White Terrier,No,NA,-0.046
24/11/2013,M,Beagle,No,Our dog is very healthy according to the vet but being a senior we worry. ,-0.045
8/4/13,FS,Golden Retriever,No,Generally healthy but has lots of fatty tumors ,-0.045
7/11/18,MN,Golden Retriever,Yes,aging ,-0.045
1/11/19,FS,English Bulldog,No,NA,-0.045
2/8/13,FS,Pug,No,NA,-0.045
17/11/2014,MN,Labrador Retriever,No,None,-0.045
1/2/17,MN,Dutch Shepherd Dog,Yes,None,-0.045
1/6/18,F,bernedoodle,No,NA,-0.045
3/7/24,MN,Shih Tzu,No,NA,-0.045
4/7/18,M,Labrador Retriever,No,NA,-0.044
1/8/15,M,NA,Yes,Lumps/ lathargic,-0.044
20/05/2015,M,German Shepherd Dog,No,Skin itching,-0.044
17/02/2018,FS,Pomeranian,No,Cardiomegaly valvular disease,-0.044
24/04/2017,MN,NA,No,NA,-0.044
24/11/2018,M,German Shepherd Dog,No,NA,-0.044
19/05/2009,FS,Shih Tzu,No,IVDD/Seizures (rare),-0.044
26/04/2011,MN,Pug,No,Occasional loose stool otherwise healthy,-0.044
1/2/24,NA,Border Collie,Yes,She is ok,-0.044
1/1/70,FS,Golden Retriever,No,Viral Squamous papillomas,-0.044
13/10/2011,M,Chihuahua,Yes,NA,-0.044
12/7/12,MN,Dobermann,Yes,age spleen looks enlarged ,-0.044
24/11/2014,FS,American Staffordshire Terrier,No,NA,-0.044
17/03/2021,F,Basset Hound,Yes,Skin cysts,-0.043
5/4/12,FS,Shep X,No,NA,-0.043
3/9/23,M,Pyrenean Mountain Dog,No,None,-0.043
18/10/2018,FS,Shih Tzu,No,None at current time. ,-0.043
1/4/13,MN,Australian Cattle Dog,No,Lump on stomach,-0.043
31/05/2018,FS,Golden Retriever,Yes,Allergies overweight ,-0.043
22/07/2024,MN,NA,Yes,NA,-0.043
1/3/24,FS,Labrador Retriever,No,Partial CCL tears allergies fatty masses in abdomen and chest,-0.043
28/03/2019,MN,Border Collie,No,None,-0.042
1/3/25,MN,Shih Tzu,No,Cushing’s disease and lots of lumps,-0.042
12/12/13,MN,Yorkipoo,Yes,Intermittent vomiting,-0.042
3/3/16,MN,American Pit Bull Terrier,Yes,NA,-0.042
18/06/2014,FS,American Staffordshire Terrier,No,Arthritis ,-0.042
9/3/13,F,Labradoodle,Yes,NA,-0.042
25/09/2021,MN,American Staffordshire Terrier,No,NA,-0.042
13/06/2021,NA,German Shepherd Dog,No,NA,-0.042
29/07/2014,M,mix,Yes,Age allergies,-0.041
1/4/24,F,St. Bernard,Yes,Listless greasy hair,-0.041
15/11/2015,FS,great pyrenees,Yes,Ella seems very healthy she is picky with her food which is human grade fresh meals. Since she is 9 years old and large breed I want some peace of mind.,-0.041
31/12/2018,F,Boxer,Yes,front arm swollen,-0.041
7/2/12,FS,Shih Tzu,No,None,-0.041
2/12/12,F,NA,Yes,Frequent panting / her breed us australian labradoodle  not listed above ,-0.041
27/12/2016,M,labradoodle,No,NA,-0.041
20/05/2017,F,Siberian Husky,No,Old age and some lumps,-0.04
18/09/2021,F,Labrador Retriever,No,NA,-0.04
16/07/2015,F,German Shepherd Dog,No,Lady Ginger has sensitive stomach so takes NutraMax Proviable-Forte Probiotics occasionally to support intestinal health. ,-0.04
4/10/21,M,Golden Retriever,No,goldens are common to having cancer so i want to check,-0.04
29/05/2019,M,Bouvier Des Flandres,No,NA,-0.04
9/6/18,M,Golden Retriever,Yes,splenic nodules present,-0.04
25/05/2017,FS,Labrador Retriever,No,None,-0.04
11/7/24,M,Mastiff,Yes,limping,-0.04
12/1/22,M,Basset Hound,No,None,-0.04
8/7/14,FS,Mastiff,Yes,Previous mast cell tumor removal skin screen for age related change,-0.04
22/08/2017,MN,Golden Retriever,No,NA,-0.04
7/8/19,F,mutt,No,Piper had cancer late last year and just want to be proactive on future screening.,-0.039
18/08/2011,FS,Labrador Retriever,No,anemia,-0.039
22/11/2012,FS,Schnauzer,No,NA,-0.039
14/12/2014,M,Australian Shepherd,No,Just want to make sure he is aging well,-0.039
1/5/19,NA,Golden Retriever,No,I know this breed has high cancer rates so just wanted to check early,-0.039
15/07/2024,F,Golden Retriever,No,General Check up ,-0.039
31/12/1111,M,Dobermann,No,Diarrhea vomiting fatigue,-0.039
23/11/2011,FS,labrador retriever mix,Yes,Low platelets ,-0.039
16/04/2013,F,Chesapeak Bay Retriever,No,NA,-0.039
15/04/2020,MN,Dutch Shepherd and Staffy Mix,Yes,None,-0.038
17/03/2018,FS,golden doodle,Yes,NA,-0.038
10/1/19,FS,West Highland White Terrier,No,Two plates to repair broken bones early spay,-0.038
8/8/10,MN,Australian Silky Terrier,Yes,old age minor heart murmur mass on spleen declining hearing and eyesight ,-0.038
13/06/2018,MN,Poodle,No,Riley has always been a bit of an anxious dog - perhaps a bit more in the last year (a little more clingy a little more keyed up when outside on walks). He also has a long history of itchy skin and itchy paws which we have been treating as atopic dermatitis which cytopoint which definitely relieves but has not totally eliminated the issue.,-0.038
1/2/11,FS,Collie Rough,No,NA,-0.038
13/02/2019,MN,Siberian Husky,No,Sometimes seems more lethargic than typical,-0.038
26/02/2010,MN,Poodle,No,NA,-0.038
7/5/12,MN,Shiba,No,NA,-0.038
1/1/17,NA,Cavalier King Charles Spaniel,No,NA,-0.038
17/10/2010,MN,mix,No,None,-0.037
10/4/14,F,Corgi mix,Yes,Weight loss,-0.037
11/3/17,FS,Old English Sheepdog,No,She had a lot of puppies as we adopted her from a breeder we feel some lumps and bumps and see little moles growing so just want to make sure she’s healthy ,-0.037
2/4/14,FS,Labrador Retriever,Yes,She’s an older dog part lab and part golden retriever. Mother died of lung cancer. Kiera had 1/2 liver removed 15 months ago. Large mass but not cancer supposedly,-0.037
5/5/14,MN,Australian Shepherd,Yes,Max has diabetes and has been getting some skin tags and scabs as well. ,-0.037
11/12/12,FS,Greyhound,No,She's been lackluster with her food lately,-0.037
5/7/14,MN,Golden Retriever,No,NA,-0.037
NA,M,Poodle,No,NA,-0.037
17/06/2016,MN,chihuahua poodle,No,No concerns but just taking the test as preventative ,-0.037
1/1/14,FS,Boxer,No,NA,-0.037
12/1/11,MN,Yorkshire Terrier,No,Kidney Disease,-0.036
15/09/2016,FS,hound mix,No,NA,-0.036
1/3/16,M,Flat Coated Retriever,No,Small lumps found,-0.036
8/8/18,MN,Golden Retriever,No,Overweight decreased energy ,-0.036
7/2/16,FS,Golden Retriever,No,NA,-0.036
29/07/2018,MN,American Staffordshire Terrier,Yes,Weight loss lethargic ,-0.036
15/07/2015,MN,American Staffordshire Terrier,Yes,Chronic colitis,-0.035
9/1/12,M,Australian Cattle Dog,No,Many lypomas,-0.035
25/06/2015,F,Golden Retriever,Yes,None,-0.035
15/04/2013,M,Yorkshire Terrier,No,He has some skin lumps but nothing new. ,-0.035
24/01/2016,F,Australian Shepherd,Yes,Red/black skin tumor,-0.035
10/12/11,NA,Welsh Corgi (Pembroke),No,Senior wellness check,-0.035
11/7/12,NA,Pekingese,No,Senior dog,-0.035
1/8/11,NA,mix,No,None,-0.035
7/7/10,MN,Poodle,Yes,Growth in skin,-0.035
1/1/16,FS,Labrador Retriever,No,None ,-0.035
1/1/18,NS,unknow,No,Healthy dog,-0.035
13/03/2013,FS,American Cocker Spaniel,No,dilute urine bacteria (+2) suggestive of UTI; recommend starting antibiotic (Cefpo 200mg PO SID x 10 days with food then recheck urine)  to see if helps with PU/PD then if urine still dilute then further work up recommended ,-0.035
14/06/2021,FS,German Shepherd Dog,No,NA,-0.035
30/11/2015,F,American Staffordshire Terrier,Yes,None ,-0.034
5/6/14,MN,Golden Retriever,No,Gallstones hx of GDV splenectomy arthritis ,-0.034
26/10/2019,FS,French Bulldog,No,chronic diarrhea/enteropathy and hematuria pancreatitis jejunal thickening and local lymphadenopathy pulmonic stenosis.,-0.034
13/08/2014,M,Aspin,Yes,Cancer suspicion,-0.034
1/2/13,NA,American Staffordshire Terrier,No,General Health Screen,-0.034
2/8/22,M,Shih Tzu,No,NA,-0.034
11/8/11,M,Labrador Retriever,No,NA,-0.034
26/01/2020,FS,American Staffordshire Terrier,No,Wellness screen for future cancers ,-0.033
1/1/14,FS,mix,No,Elbow dysplasia,-0.033
2/6/20,NA,Labrador Retriever,No,None,-0.033
30/10/2019,MN,Irish Soft Coated Wheaten Terrier,No,NA,-0.033
8/9/18,M,Chihuahua,No,NA,-0.033
6/6/19,MN,Parson Russell Terrier,No,Anxious ,-0.033
2/7/14,MN,American Cocker Spaniel,Yes,Concerned about a small growth found on spleen during unrelated imaging.   Have been following the growth and has been stable,-0.033
14/02/2020,MN,Boxer,No,History of MCT,-0.033
16/06/2017,FS,Rottweiler,No,No concerns. Also please take note that the pet breed type section did not provide option for mixed breed.  She is mixed with Rottweiler German Shepherd Labrador Retriever American Pitbull Chow Chow American Foxhound etc. According to a DNA Test. ,-0.033
8/8/21,FS,Dobermann,No,none,-0.033
25/10/2010,MN,Goldendoodle,Yes,Epilepsy elevated liver enzymes anemia abnormal kidney numbers,-0.033
26/04/2018,MN,Labrador Retriever,No,None,-0.032
9/6/14,M,Golden Retriever,No,NA,-0.032
13/10/2015,MN,Maltese,No,Allergies ,-0.032
14/02/2015,M,American Pitbull Terrier ,No,My dog has multiple lipomas and skin tags. Outside of mild arthritis and lumbosacral spondylosis he is healthy. ,-0.032
4/6/13,FS,Shih Tzu,Yes,Possible splenic enlargement on Xray and lethargic ,-0.032
10/4/16,FS,Schnauzer,No,NA,-0.032
10/5/15,MN,Golden Retriever,No,NONE,-0.032
1/1/50,FS,Poodle,No,Liver enzyme issues,-0.032
30/03/2009,MN,Jack Russell Terrier,No,old,-0.032
24/05/2016,M,Australian Shepherd,No,High calcium levels ,-0.031
6/2/20,MN,German Shepherd Dog,No,Just a preventative cancer screen,-0.031
26/05/2016,M,Golden Retriever,No,His brother died of Lymphoma,-0.031
9/2/15,MN,Golden Retriever,No,osteoarthritis & thryoid,-0.031
17/11/2018,FS,Boxer,No,NA,-0.031
7/4/23,M,Boxer,Yes,No health issues ,-0.031
6/8/22,MN,Italian Cane Corso,No,NA,-0.031
14/03/2018,FS,German Shepherd Dog,No,Arthritis elevated kidney values,-0.031
31/12/2017,F,Staffordshire Bull Terrier,No,None,-0.031
5/2/13,M,Irish Soft Coated Wheaten Terrier,No,Head tilt for several months,-0.031
18/03/2018,MN,Golden Retriever,No,none so far ,-0.03
22/02/2015,MN,Chihuahua,No,NA,-0.03
1/1/18,FS,Chihuahua,No,None,-0.03
3/10/21,M,bernedoodle,No,NA,-0.03
19/09/2011,MN,Dachshund,No,He has lots of lumps many have already tested as lipomas. He is on ursodiol for biliary sludge had slightly elevated ALKP and BUN on his bloodwork maybe 4 months ago. He gets yearly ultrasounds for our peace of mind last couple have shown what looks to be a small mass on the liver; radiologist thinks benign because of the rate of growth and Jimi not being symptomatic. He is 13 and I thought this was a good time to rule out whatever I could with this test.,-0.03
2/3/20,NA,Bernese Mountain Dog,No,Hip dysplasia ,-0.03
9/6/13,M,mix,No,Overweight,-0.03
12/5/16,MN,Miniature Schnauzer,No,NA,-0.03
29/06/2017,M,Siberian Husky,Yes,Decreased energy a lump near front leg I will be doing ultrasound on the area preping x-ray with our medical team next week.,-0.03
29/12/2015,M,Rhodesian Ridgeback,Yes,Poor appetite Weight loss loose stool,-0.03
3/7/21,MN,Pomsky,No,none ,-0.03
1/8/24,M,Puli,No,Lots of (so far) benign lipomas,-0.03
12/9/19,MN,Welsh Corgi (Pembroke),Yes,NA,-0.03
2/4/10,MN,Chihuahua,Yes,NA,-0.03
1/5/24,M,Bulldog,Yes,Dog refused to eat until nighttime drinks water. We suspects something is wrong.,-0.03
7/2/16,FS,Belgian Shepherd Dog,No,none,-0.03
2/4/22,FS,Maltese,No,None,-0.03
1/12/13,MN,Labrador Retriever,No,NA,-0.03
31/08/2011,FS,Poodle,No,NA,-0.029
10/7/20,F,American Staffordshire Terrier,No,NA,-0.029
1/1/16,FS,Labrador Retriever,No,wt loss & chronic/recurrent diarrhea,-0.029
29/09/2023,MN,Chesapeake Bay Retriever,No,None; still young.,-0.029
1/6/14,F,Rottweiler,Yes,She had her spleen removed with a growth on it . She has a thyroid issue . P,-0.029
30/04/2016,MN,Golden Retriever,No,He is healthy but I have had several Goldens that got cancer.,-0.029
23/07/2024,MN,Siberian Husky,No,He has a few symptoms that our dog Akira had.. We found out late that she had primary lung cancer so we just want to make sure he doesn’t have anything going on. ,-0.029
5/11/20,FS,Golden Retriever,No,NA,-0.029
1/6/17,FS,Siberian Husky,No,N/A,-0.029
9/7/16,MN,Golden Retriever,Yes,He doesn’t appear to have any health issue yet but he is a high risk breed and getting older. Has had previous benign lumps removed. ,-0.029
8/12/18,NA,Golden Retriever,Yes,Allergies and high risk for cancer breed ,-0.029
5/7/10,M,Labrador Retriever,Yes,prostate issues and loosing weight,-0.028
1/8/17,MN,Labrador Retriever,No,NA,-0.028
1/7/13,MN,Basset Hound,Yes,thyroid carcinoma removed 08/2024 current concern for IBD or GI lymphoma,-0.028
1/5/16,MN,Golden Retriever,Yes,Mass in the mouth,-0.028
14/01/2019,MN,Labrador Retriever,No,NA,-0.028
10/5/16,FS,Cavalier King Charles Spaniel,No,NA,-0.028
1/10/14,F,Border Collie,No,overall pretty healthy,-0.028
8/6/15,FS,Dobermann,Yes,Mass in lung - ruled out as fungal,-0.028
15/03/2015,MN,Shetland Sheepdog,No,Potentially elevated cholesterol,-0.028
31/01/2017,NA,Golden Retriever,No,No health concerns ,-0.028
15/05/2011,MN,Belgian Shepherd Dog,Yes,Allergies diarrhea when he was young later he developed maldigestion/malabsorption which has been controlled w/ whole food diets. ,-0.028
20/10/2016,M,Golden Retriever,No,NA,-0.028
17/08/2015,FS,Bullmastiff,No,NA,-0.028
5/10/14,MN,Golden Retriever,No,Healthy Boy! Homemade food diet following a strict nutrition plan want to make sure his levels are normal. ,-0.027
5/12/12,FS,Shih Tzu,No,Cushings,-0.027
7/3/15,MN,Beagle,No,Had soft tissue sarcoma removed 6 months ago,-0.027
22/09/2016,FS,poodle mix,No,she has a couple cysts that come and go on her skin otherwise she's doing well,-0.027
6/5/15,FS,Border Collie,No,None ,-0.027
9/5/23,M,American bully,Yes,N/a,-0.027
31/12/1017,FS,Labrador Retriever,No,She is getting up in age and had some issues regarding her chin. It puffed up with some puss inside and she lost the hair. It was very itchy for her as well. We’ve gotten it to go away mostly but there is still a small bit left and she is on daily apoquel to keep it what it is right now. ,-0.027
6/3/12,MN,Golden Retriever,No,arthritis,-0.027
14/01/2014,MN,Labrador Retriever,Yes,Lumps,-0.027
01/01/1012,MN,Hungarian Short-Haired Pointer (Vizsla),No,n/a,-0.027
11/8/11,NA,Labrador Retriever,Yes,NA,-0.027
NA,MN,Goldendoodle,No,NA,-0.027
1/1/13,FS,mixed,No,She's in pain and it could be due to a recent injury but I've had vets tell me her injury shouldn't be causing her pain.  I feel like something else is going on with her.,-0.026
7/12/15,FS,Pyrenean Sheepdog - Smooth Faced,No,seizures,-0.026
1/1/16,MN,Rhodesian Ridgeback,Yes,He has a couple of lumps,-0.026
17/02/2016,MN,lab mix,Yes,None,-0.026
8/9/20,FS,Golden Mountain Doodle,No,None,-0.026
22/11/2015,FS,Labrador Retriever,No,NA,-0.026
1/11/18,MN,German Shepherd Dog,Yes,none.  previous seasonal allergies but none this year,-0.026
